Configuration	babybox
STM32CubeMX 	4.26.1
Date	09/04/2018
MCU	STM32F103CBTx



PERIPHERALS	MODES	FUNCTIONS	PINS
I2C1	I2C	I2C1_SCL	PB6
I2C1	I2C	I2C1_SDA	PB7
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PD0-OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PD1-OSC_OUT
SYS	No Debug	SYS_VS_ND	VP_SYS_VS_ND
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick
TIM2	PWM Generation CH1	TIM2_CH1	PA0-WKUP
TIM2	PWM Generation CH2	TIM2_CH2	PA1
USART1	Asynchronous	USART1_RX	PA10
USART1	Asynchronous	USART1_TX	PA9
USART2	Asynchronous	USART2_RX	PA3
USART2	Asynchronous	USART2_TX	PA2
USART3	Asynchronous	USART3_RX	PB11
USART3	Asynchronous	USART3_TX	PB10



Pin Nb	PINs	FUNCTIONs	LABELs
2	PC13-TAMPER-RTC	GPIO_EXTI13	
3	PC14-OSC32_IN	GPIO_EXTI14	
4	PC15-OSC32_OUT	GPIO_EXTI15	
5	PD0-OSC_IN	RCC_OSC_IN	
6	PD1-OSC_OUT	RCC_OSC_OUT	
10	PA0-WKUP	TIM2_CH1	PWM_CH1
11	PA1	TIM2_CH2	PWM_CH2
12	PA2	USART2_TX	
13	PA3	USART2_RX	
14	PA4	GPIO_EXTI4	PHOTO_1_EXTI4
15	PA5	GPIO_EXTI5	PHOTO_2_EXTI5
16	PA6	GPIO_EXTI6	PIR_EXTI6
17	PA7	GPIO_Input	LoadCell_DT
18	PB0	GPIO_Output	LoadCell_CLK
19	PB1	GPIO_EXTI1	Emergence_BTN_EXTI1
20	PB2	GPIO_Input	BOOT1
21	PB10	USART3_TX	
22	PB11	USART3_RX	
25	PB12	GPIO_Output	Buzzer_CTRL
26	PB13	GPIO_Output	ELECTROMAGNET_CTRL_1
27	PB14	GPIO_Output	ELECTROMAGNET_CTRL_2
28	PB15	GPIO_Output	BAR_LED_CTRL_1
29	PA8	GPIO_Output	BAR_LED_CTRL_2
30	PA9	USART1_TX	
31	PA10	USART1_RX	
32	PA11	GPIO_Output	USER_LED_STATUS
33	PA12	GPIO_EXTI12	USER_KEY_1_EXTI
34	PA13*	SYS_JTMS-SWDIO	
37	PA14*	SYS_JTCK-SWCLK	
38	PA15	GPIO_Output	LED_R_EXTERNAL
39	PB3	GPIO_Output	LED_G_EXTERNAL
40	PB4	GPIO_Output	LED_B_EXTERNAL
41	PB5	GPIO_Output	Buzzer_CTRL_EXTRNAL
42	PB6	I2C1_SCL	
43	PB7	I2C1_SDA	
45	PB8	GPIO_Output	
46	PB9	GPIO_Output	
